Actual_Profit,Target_Profit,Actual_Revenue,Target_Revenue,Actual_Cost,Target_Cost,Stock Wastage,Total Stock,Area_Code,Trans_Date,MenuID
41,50,137,120,56,40,17,382,920,01/02/2018,11
3,10,155,130,65,50,58,513,414,01/02/2018,12
35,50,110,120,48,50,15,617,715,01/02/2018,6
42,60,154,180,70,80,21,957,414,01/02/2018,5
66,80,174,150,65,50,20,372,715,01/02/2018,8
43,50,115,100,47,40,13,772,262,01/02/2018,9
48,60,123,130,50,50,14,814,475,01/02/2018,11
21,40,66,70,27,20,7,772,475,01/02/2018,13
29,40,130,120,55,50,18,305,203,01/02/2018,6
3,20,155,150,65,60,58,513,860,01/02/2018,5
121,130,325,300,130,120,42,945,959,01/02/2018,2
41,50,193,150,86,60,32,484,475,01/02/2018,9
46,50,165,120,75,50,23,956,860,01/02/2018,10
28,40,80,80,32,30,8,817,786,01/02/2018,11
44,60,115,120,47,40,13,772,727,01/02/2018,13
51,60,180,170,77,70,25,423,407,01/02/2018,6
16,40,220,210,92,80,83,541,305,01/02/2018,5
71,70,206,190,86,80,26,490,305,01/02/2018,3
63,80,200,190,80,70,26,640,754,01/02/2018,2
34,30,110,80,48,30,15,617,754,01/02/2018,8
12,20,118,90,53,40,20,306,727,01/02/2018,9
42,50,154,120,70,50,21,957,850,01/02/2018,10
28,40,80,80,32,30,8,817,978,01/02/2018,11
17,30,56,60,22,20,6,452,978,01/02/2018,13
99,110,340,330,170,160,47,1073,508,01/02/2018,7
-4,10,128,120,54,50,49,451,508,01/02/2018,5
340,330,470,440,75,70,24,235,774,01/02/2018,2
18,30,132,100,59,40,22,331,781,01/02/2018,9
11,20,45,40,18,10,5,818,603,01/02/2018,11
32,30,43,40,0,0,0,774,603,01/02/2018,13
-6,0,68,60,30,20,11,165,603,01/02/2018,7
-7,10,104,100,43,40,39,256,603,01/02/2018,5
25,40,101,90,41,30,13,236,603,01/02/2018,1
23,30,114,100,45,40,14,366,603,01/02/2018,2
-4,0,74,50,33,20,12,193,603,01/02/2018,9
100,120,232,250,95,100,26,809,631,01/02/2018,11
105,130,243,260,99,100,27,766,518,01/02/2018,12
79,90,189,200,77,80,21,449,845,01/02/2018,13
264,280,580,560,228,210,63,1402,585,01/02/2018,7
-203,-190,61,50,121,110,110,901,585,01/02/2018,5
245,250,645,610,258,240,90,2067,917,01/02/2018,2
131,110,495,380,240,180,91,1454,518,01/02/2018,9
-120,-80,180,140,213,160,66,1214,607,01/02/2018,10
65,70,174,140,65,50,20,372,504,01/02/2018,5
41,50,137,110,56,40,17,382,985,01/02/2018,6
35,40,112,100,49,40,16,617,337,01/02/2018,8
42,40,193,180,86,80,32,484,225,01/02/2018,9
2,10,155,130,65,50,58,342,318,01/02/2018,4
34,60,94,110,38,40,10,772,337,01/02/2018,2
44,70,115,140,47,50,13,772,504,01/02/2018,3
-7,0,104,80,43,30,39,256,505,01/02/2018,5
8,10,82,70,35,30,11,191,505,01/02/2018,6
10,20,45,40,18,10,5,818,505,01/02/2018,8
5,20,63,60,28,20,8,961,505,01/02/2018,9
-7,0,68,50,30,20,11,104,505,01/02/2018,4
24,50,114,140,45,50,14,366,505,01/02/2018,2
-31,-20,102,120,84,100,26,625,505,01/02/2018,3
70,70,206,170,86,70,26,300,405,01/02/2018,4
17,30,56,40,22,10,6,452,918,01/02/2018,5
63,70,200,170,80,60,26,640,405,01/02/2018,6
11,20,118,110,53,50,20,306,918,01/02/2018,8
15,40,220,210,92,80,83,541,405,01/02/2018,9
29,50,100,120,44,50,14,618,918,01/02/2018,2
29,50,80,100,32,40,8,817,405,01/02/2018,3
58,60,189,160,75,60,24,378,512,01/02/2018,4
106,100,243,200,99,80,27,766,903,01/02/2018,5
80,90,189,160,77,60,21,449,956,01/02/2018,6
33,50,140,130,60,50,19,329,214,01/02/2018,8
38,50,128,120,52,40,16,357,432,01/02/2018,9
164,240,465,580,213,260,66,942,972,01/02/2018,2
68,100,190,230,83,100,27,613,432,01/02/2018,3
38,30,103,90,42,40,11,771,435,01/02/2018,4
35,40,112,100,49,40,16,617,801,01/02/2018,5
48,50,123,110,50,40,14,814,435,01/02/2018,6
24,30,101,80,41,30,13,236,435,01/02/2018,8
24,40,114,100,45,30,14,366,435,01/02/2018,9
-31,-30,102,80,84,70,26,625,435,01/02/2018,10
-7,10,104,70,43,20,39,256,435,01/02/2018,11
9,10,82,50,35,20,11,191,435,01/02/2018,12
-6,10,68,40,30,10,11,165,435,01/02/2018,13
46,70,165,200,75,90,23,956,435,01/02/2018,1
30,70,130,160,55,60,18,305,435,01/02/2018,2
41,80,193,240,86,100,32,484,435,01/02/2018,3
142,150,457,430,228,210,63,1436,831,01/02/2018,4
26,30,290,270,121,110,110,712,916,01/02/2018,5
202,200,545,520,234,220,77,1282,951,01/02/2018,6
100,100,232,200,95,80,26,809,949,01/02/2018,8
164,160,465,400,213,180,66,942,714,01/02/2018,9
68,60,190,160,83,70,27,613,530,01/02/2018,10
106,90,243,160,99,60,27,766,626,01/02/2018,11
80,60,189,120,77,50,21,449,858,01/02/2018,12
58,50,189,120,75,40,24,549,858,01/02/2018,13
-27,-20,132,160,104,130,33,685,909,01/02/2018,1
245,360,645,800,258,320,90,2067,415,01/02/2018,2
-117,-110,122,150,148,180,48,1071,818,01/02/2018,3
31,30,43,40,0,0,0,774,702,01/02/2018,4
10,20,45,40,18,10,5,818,775,01/02/2018,5
11,20,47,40,19,10,5,774,775,01/02/2018,6
6,20,63,70,28,30,8,961,702,01/02/2018,3
26,40,290,250,121,100,110,712,775,01/02/2018,8
115,120,354,310,148,120,48,844,775,01/02/2018,9
94,110,254,220,104,80,33,596,702,01/02/2018,10
202,150,545,370,234,150,77,1282,775,01/02/2018,11
142,100,457,310,228,150,63,1436,702,01/02/2018,12
-342,-220,23,0,240,150,91,1937,702,01/02/2018,13
-5,10,74,90,33,40,12,193,775,01/02/2018,2
18,20,132,120,59,50,22,331,503,01/02/2018,4
33,50,140,130,60,50,19,329,541,01/02/2018,5
99,100,340,320,170,160,47,1073,971,01/02/2018,6
38,70,128,160,52,60,16,357,971,01/02/2018,3
28,50,81,70,33,20,9,772,971,01/02/2018,8
30,30,100,80,44,30,14,618,541,01/02/2018,9
17,20,56,30,22,10,6,452,541,01/02/2018,11
62,50,200,130,80,50,26,640,971,01/02/2018,12
71,60,206,140,86,50,26,490,503,01/02/2018,13
-4,40,129,160,54,60,49,427,971,01/02/2018,1
25,50,155,190,65,80,21,392,503,01/02/2018,2
35,40,110,100,48,40,15,617,360,01/02/2018,4
12,20,118,110,53,50,20,306,253,01/02/2018,5
41,60,154,140,70,60,21,957,509,01/02/2018,6
15,60,220,270,92,110,83,541,206,01/02/2018,3
121,120,325,280,130,110,42,945,206,01/02/2018,8
34,50,94,80,38,30,10,772,509,01/02/2018,9
66,40,174,110,65,40,20,372,360,01/02/2018,11
41,40,137,90,56,30,17,382,206,01/02/2018,12
3,10,155,100,65,40,58,513,253,01/02/2018,13
44,70,142,170,58,70,18,331,509,01/02/2018,2
90,100,213,220,87,90,24,756,720,01/03/2018,1
69,90,193,200,84,80,27,603,970,01/03/2018,2
101,110,234,240,95,100,26,799,720,01/03/2018,3
29,30,98,80,43,30,14,613,720,01/03/2018,13
84,110,198,230,81,90,22,441,719,01/03/2018,5
54,80,180,210,72,80,23,541,970,01/03/2018,6
94,100,325,280,162,130,45,1059,719,01/03/2018,8
-4,20,125,110,52,40,47,421,970,01/03/2018,9
31,40,134,110,57,40,18,323,720,01/03/2018,10
16,20,129,110,58,40,22,325,970,01/03/2018,11
32,30,135,110,62,50,19,952,303,01/03/2018,12
119,140,367,380,154,160,50,829,217,01/03/2018,2
102,120,267,280,109,110,34,585,630,01/03/2018,3
211,260,567,660,243,280,80,1260,312,01/03/2018,5
148,200,478,560,239,270,66,1417,773,01/03/2018,6
91,90,213,180,87,70,24,756,224,01/03/2018,8
70,60,193,160,84,70,27,603,630,01/03/2018,9
102,100,234,200,95,80,26,799,773,01/03/2018,10
84,80,198,170,81,60,22,441,815,01/03/2018,11
53,40,180,150,72,60,23,541,773,01/03/2018,12
10,20,45,40,18,10,5,816,712,01/03/2018,1
6,20,63,60,28,20,8,958,641,01/03/2018,2
12,20,54,50,23,20,7,617,563,01/03/2018,3
9,20,41,40,16,10,4,772,712,01/03/2018,5
32,40,43,50,0,0,0,731,563,01/03/2018,6
212,210,567,490,243,200,80,1260,641,01/03/2018,8
102,110,267,230,109,90,34,585,319,01/03/2018,9
148,140,478,420,239,200,66,1417,515,01/03/2018,11
175,160,546,480,245,210,93,1369,515,01/03/2018,12
39,40,189,190,85,90,32,476,573,01/03/2018,2
45,60,163,170,74,70,22,949,573,01/03/2018,3
-4,0,75,60,33,20,12,190,573,01/03/2018,13
47,70,121,140,49,50,13,809,573,01/03/2018,5
45,60,118,130,48,50,13,766,660,01/03/2018,6
-6,10,107,90,44,30,40,251,816,01/03/2018,8
-32,-10,106,90,88,70,27,715,636,01/03/2018,9
11,10,85,70,36,30,11,187,417,01/03/2018,11
-3,0,75,60,33,20,12,162,417,01/03/2018,12
32,50,134,140,57,60,18,323,937,01/03/2018,1
35,40,121,120,49,50,15,351,740,01/03/2018,2
-4,20,125,130,52,50,47,421,513,01/03/2018,3
68,60,210,180,84,70,27,632,513,01/03/2018,11
74,70,214,180,89,70,27,481,513,01/03/2018,12
15,40,129,150,58,60,22,325,234,01/03/2018,6
94,130,325,380,162,180,45,1059,513,01/03/2018,5
15,30,53,40,21,10,5,449,234,01/03/2018,8
28,40,79,60,32,20,8,813,740,01/03/2018,9
13,30,120,120,54,50,20,301,262,01/03/2018,1
17,30,227,230,95,100,86,532,262,01/03/2018,2
55,70,188,190,80,80,26,415,414,01/03/2018,3
38,40,129,110,52,40,16,376,414,01/03/2018,11
1,10,150,130,63,50,57,506,920,01/03/2018,12
34,60,112,130,49,50,16,611,715,01/03/2018,6
41,60,155,180,71,80,22,950,715,01/03/2018,5
63,70,167,140,62,50,19,346,262,01/03/2018,8
47,50,121,100,49,40,13,767,715,01/03/2018,9
47,60,121,130,49,50,13,809,959,01/03/2018,11
18,30,62,60,25,20,7,769,860,01/03/2018,13
26,40,124,120,53,50,17,299,860,01/03/2018,6
0,10,150,140,63,60,57,506,860,01/03/2018,5
114,130,309,290,123,110,40,932,475,01/03/2018,2
39,40,189,140,85,60,32,476,203,01/03/2018,9
46,50,163,120,74,50,22,949,203,01/03/2018,10
27,40,81,80,33,30,9,813,863,01/03/2018,11
47,60,121,130,49,50,13,767,813,01/03/2018,13
54,70,188,180,80,70,26,415,941,01/03/2018,6
17,30,227,220,95,90,86,532,941,01/03/2018,5
74,80,214,200,89,80,27,481,321,01/03/2018,3
67,70,210,190,84,80,27,632,561,01/03/2018,2
35,30,112,80,49,30,16,611,863,01/03/2018,8
12,20,120,90,54,40,20,301,772,01/03/2018,9
40,50,155,120,71,50,22,950,813,01/03/2018,10
28,40,79,80,32,30,8,813,978,01/03/2018,11
15,20,53,50,21,20,5,449,857,01/03/2018,13
94,100,325,310,162,150,45,1059,508,01/03/2018,7
-4,20,125,120,52,40,47,446,508,01/03/2018,5
366,360,492,460,72,60,23,-54,978,01/03/2018,2
16,30,129,100,58,40,22,325,508,01/03/2018,9
11,20,45,40,18,10,5,816,603,01/03/2018,11
32,30,43,40,0,0,0,731,603,01/03/2018,13
-4,0,75,70,33,30,12,162,603,01/03/2018,7
-7,10,107,100,44,40,40,251,603,01/03/2018,5
29,40,107,100,43,40,13,231,603,01/03/2018,1
26,40,119,110,47,40,15,361,603,01/03/2018,2
-3,0,75,50,33,20,12,190,603,01/03/2018,9
102,120,234,250,95,100,26,799,716,01/03/2018,11
91,110,213,230,87,90,24,756,315,01/03/2018,12
83,100,198,210,81,80,22,441,518,01/03/2018,13
-208,-190,63,60,125,120,113,1118,607,01/03/2018,5
194,210,523,510,239,220,66,1260,718,01/03/2018,7
259,270,675,640,270,250,94,2041,718,01/03/2018,2
141,130,513,400,245,180,93,1471,516,01/03/2018,9
-119,-80,182,140,214,160,66,1480,914,01/03/2018,10
1,0,150,120,63,50,57,187,318,01/03/2018,4
63,70,167,140,62,50,19,346,318,01/03/2018,5
38,50,129,110,52,40,16,376,504,01/03/2018,6
34,40,110,100,48,40,15,611,337,01/03/2018,8
39,40,189,180,85,80,32,476,318,01/03/2018,9
47,70,121,150,49,60,13,767,318,01/03/2018,3
29,50,82,100,33,40,9,768,225,01/03/2018,2
-3,10,75,60,33,20,12,36,505,01/03/2018,4
-7,10,107,90,44,30,40,251,505,01/03/2018,5
11,10,85,70,36,30,11,187,505,01/03/2018,6
10,20,45,40,18,10,5,816,505,01/03/2018,8
5,20,63,60,28,20,8,958,505,01/03/2018,9
-33,-20,106,130,88,110,27,715,505,01/03/2018,3
26,50,119,140,47,50,15,361,505,01/03/2018,2
74,80,214,180,89,70,27,94,405,01/03/2018,4
15,30,53,40,21,10,5,449,918,01/03/2018,5
68,70,210,180,84,70,27,632,580,01/03/2018,6
13,20,120,110,54,50,20,301,580,01/03/2018,8
17,30,227,220,95,90,86,532,405,01/03/2018,9
27,40,79,90,32,40,8,813,405,01/03/2018,3
29,50,98,120,43,50,14,613,918,01/03/2018,2
54,50,180,150,72,60,23,189,325,01/03/2018,4
91,90,213,180,87,70,24,756,936,01/03/2018,5
84,90,198,170,81,60,22,441,972,01/03/2018,6
31,50,134,130,57,50,18,323,214,01/03/2018,8
35,40,121,110,49,40,15,351,281,01/03/2018,9
70,110,193,240,84,100,27,603,214,01/03/2018,3
166,240,467,580,214,260,66,923,940,01/03/2018,2
45,50,118,110,48,40,13,766,435,01/03/2018,4
34,40,110,100,48,40,15,611,801,01/03/2018,5
47,50,121,110,49,40,13,809,435,01/03/2018,6
38,70,189,230,85,100,32,476,435,01/03/2018,3
28,40,107,90,43,30,13,231,435,01/03/2018,8
26,30,119,100,47,40,15,361,435,01/03/2018,9
-32,-20,106,90,88,70,27,715,801,01/03/2018,10
-7,10,107,70,44,20,40,251,801,01/03/2018,11
10,10,85,50,36,20,11,187,435,01/03/2018,12
-4,10,75,50,33,20,12,162,435,01/03/2018,13
45,70,163,200,74,90,22,949,435,01/03/2018,1
26,60,124,150,53,60,17,299,801,01/03/2018,2
149,150,478,450,239,220,66,1417,760,01/03/2018,4
27,30,298,280,125,120,113,700,323,01/03/2018,5
211,210,567,540,243,230,80,1260,916,01/03/2018,6
-121,-120,127,150,154,190,50,1288,650,01/03/2018,3
101,100,234,200,95,80,26,799,562,01/03/2018,8
165,170,467,410,214,180,66,923,213,01/03/2018,9
69,60,193,160,84,70,27,603,562,01/03/2018,10
91,80,213,140,87,50,24,756,415,01/03/2018,11
84,70,198,130,81,50,22,441,951,01/03/2018,12
54,50,180,120,72,40,23,541,415,01/03/2018,13
-41,-30,125,150,109,130,34,796,925,01/03/2018,1
259,370,675,840,270,340,94,2041,707,01/03/2018,2
31,30,43,40,0,0,0,731,775,01/03/2018,4
10,20,45,40,18,10,5,816,775,01/03/2018,5
10,10,41,30,16,10,4,772,775,01/03/2018,6
6,20,63,70,28,30,8,958,702,01/03/2018,3
27,50,298,260,125,100,113,700,775,01/03/2018,8
119,120,367,320,154,130,50,829,702,01/03/2018,9
102,110,267,230,109,90,34,585,702,01/03/2018,10
212,150,567,380,243,160,80,1260,702,01/03/2018,11
